term,question,context,popularity,category,Culture_type
পোলাও,"চাল দিয়ে তৈরি একটি মশলাযুক্ত খাবারের নাম কী, যা অনেক দেশে পরিচিত এবং সাধারণত বড় উৎসবে খাওয়া হয়?",পোলাও বা পলান্ন হচ্ছে চাল দিয়ে তৈরী একটি মশলাযুক্ত খাবার।,0.006235900741,Miscellaneous,Miscellaneous
মুঘল সাম্রাজ্য,হিন্দুস্তান বা ভারত উপমহাদেশে যে সাম্রাজ্য ছিল সেটি কোন সাম্রাজ্য?,"মুঘল সাম্রাজ্য ঐতিহাসিক হিন্দি: ہِنْدوسْتان হিন্দস্তান, ফার্সি: بلادِ هِنْدوسْتان বিলাদ-ই-হিন্দুস্তান ভারত উপমহাদেশের একটি সাম্রাজ্য ছিল। ",0.1239284563,Miscellaneous,Miscellaneous
সন্ধ্যা মুখোপাধ্যায়,"কে হলেন ঐ বিখ্যাত ভারতীয় নেপথ্য গায়িকা এবং সংগীতশিল্পী, যিনি বাংলা সঙ্গীতের একজন বিশেষজ্ঞ এবং গীতশ্রী উপাধিধারিণী?","গীতশ্রী সন্ধ্যা মুখোপাধ্যায় একজন ভারতীয় নেপথ্য গায়িকা এবং সংগীতশিল্পী, বাংলা সঙ্গীত বিশেষজ্ঞ। ",0.007347728005,Miscellaneous,Miscellaneous
গামছা,"পূর্ব ভারতীয় এলাকা এবং বাংলাদেশে প্রায়শই দেখা যায় এমন সেই পাতলা, সূতি তোয়ালেটির নাম কী?","গামছা একটি পাতলা, অমসৃণ সূতির তোয়ালে যা ভারতের পূর্বাঞ্চল এবং বাংলাদেশের বহুল ব্যবহৃত পোশাক সামগ্রী। ",0.001885272317,Miscellaneous,Miscellaneous
থানকুনি,হাইড্রোকটাইল অসিয়েটিকা এল. এবং ট্রিস্যানথাস কোচিনচিনেনসিস এলোর বাংলা নাম কী? এটি এক ধরনের খুব ছোট বর্ষজীবী ভেষজ উদ্ভিদ যা আদামণি নামেও পরিচিত।,Hydrocotyle asiatica L.Trisanthus cochinchinensis Lour. থানকুনি বা আদামণি এক ধরনের খুব ছোট বর্ষজীবী ভেষজ উদ্ভিদ।,0.04540767,Miscellaneous,Miscellaneous
সুবিনয় রায়,"কলকাতার একজন ব্রাহ্ম পরিবারে জন্মগ্রহণ করা, বাঙালি রবীন্দ্র সংগীতের একজন প্রখ্যাত শিল্পী যিনি ব্রহ্মসঙ্গীতে বিশেষ পরিচিত, তিনি কে?",সুবিনয় রায় কলকাতার ব্রাহ্ম পরিবারের জাত আজন্ম ব্রহ্মসঙ্গীতে লালিত প্রখ্যাত বাঙালি রবীন্দ্র সংগীত শিল্পী।,0.001901385756,Miscellaneous,Miscellaneous
বর্ষা,"মৌসুমী বায়ুপ্রবাহের কারণে প্রবল বৃষ্টিপাত ঘটে এবং এটি একটি ঋতু হিসেবে উদযাপিত হয়, বাংলাদেশের এই ঋতুর নাম কী?","বর্ষা, মৌসুমী বায়ুপ্রবাহের অঞ্চলগুলোতে উদযাপিত একটি ঋতু, যখন মৌসুমী বায়ুর প্রভাব সক্রিয় হওয়ায় প্রবল বৃষ্টিপাত হয়। ",0.02325169191,Miscellaneous,Miscellaneous
কুষাণ সাম্রাজ্য,প্রথম খ্রিষ্টীয় শতাব্দীতে মধ্য এশিয়ার ব্যাক্ট্রিয়া ও স্কাইথিয়া অঞ্চলে গড়ে উঠা একটি মিশ্র চীনা-ব্যাক্ট্রীয় সাম্রাজ্য কোনটি ছিল?,কুষাণ সাম্রাজ্য ছিল প্রথম খ্রিষ্টীয় শতাব্দীতে মধ্য এশিয়ার ব্যাক্ট্রিয়া ও স্কাইথিয়া অঞ্চলে গড়ে ওঠা একটি মিশ্র চীনা-ব্যাক্ট্রীয় সাম্রাজ্য।,0.01575894296,Miscellaneous,Miscellaneous
জনগণমন-অধিনায়ক জয় হে,ভারতের জাতীয় সঙ্গীতের প্রথম লাইন কী?,জনগণমন-অধিনায়ক জয় হে ভারতের জাতীয় সঙ্গীত।,0.0532549146,Miscellaneous,Miscellaneous
আমলকী,"ফাইলান্থাসি পরিবারের একপ্রকার ফল যা আমরা সাধারণত আমের মতো মিষ্টি বিবেচনা করি না, বরং এটি একটি ভেষজ ফল হিসেবে পরিচিত। এই ফলের বাংলা নাম কী?",আমলকী ফাইলান্থাসি পরিবারের ফাইলান্থুস গণের একপ্রকার ভেষজ ফল।,0.08087334837,Miscellaneous,Miscellaneous
ভাত,"কোন পদার্থ বা প্রক্রিয়ায় চাল ও জল ব্যবহার করে প্রায় প্রতিদিনের আহারে অন্তর্ভুক্ত একটি প্রধান খাবার তৈরি হয়, যা বাংলাদেশের অনেক মেয়ে ও মহিলার দিনের কাজের অংশ হিসেবে প্রতি দিন তৈরি করেন?",ভাত বা অন্ন চালকে জলে সেদ্ধ করে তৈরি খাবার।,0.01535610699,Miscellaneous,Miscellaneous
কমল দাশগুপ্ত,"বাংলাদেশের সংগীত শিল্পের ইতিহাসে যিনি অনেকগুলো প্রসিদ্ধ গান রচনা করেছেন এবং বিখ্যাত সুরকার ও সঙ্গীত পরিচালক হিসেবে পরিচিত, তিনি কে?'","কমল দাশগুপ্ত ভারতীয় উপমহাদেশের অন্যতম প্রথিতযশা সঙ্গীতশিল্পী, প্রসিদ্ধ সুরকার ও সঙ্গীত পরিচালক ছিলেন। ",0.01300354496,Miscellaneous,Miscellaneous
শাক সবজি,মানুষের খাবার হিসেবে ব্যবহৃত উদ্ভিদ ও তার অংশগুলির সাধারণ নাম কী?,শাক সবজি সাধারনভাবে মানুষের খাদ্যপোযোগী উদ্ভিদ ও তার অঙ্গসমূহকে শাকসবজি বা শুধুই শাক অথবা সবজি বলা হয়ে থাকে।,0.01429262005,Miscellaneous,Miscellaneous
টুসু উৎসব,"কোন বাংলাদেশী লোকউৎসব শুরু হয় অগ্রহায়ণ মাসের শেষে এবং শেষ হয় মকর সংক্রান্তির দিনে, যেখানে মেয়েরা পুরনো পোশাক পরে নিজেদের পুরনো পোশাক ডুবিয়ে ফেলার অনুষ্ঠান অনুষ্ঠান করে?","ধরন প্রতিষ্ঠান পুরস্কার টুসু উৎসব বা মকর পরব একটি লোকউৎসব, যা বাংলা অগ্রহায়ণ মাসের শেষ দিনে শুরু হয় আর শেষ হয় পৌষ সংক্রান্তি বা মকর-সংক্রান্তির পুণ্যলগ্নে। ",0.02147921366,Miscellaneous,Miscellaneous
বাংলাদেশ,দক্ষিণ এশিয়ার কোন দেশ স্বাধীন ও সার্বভৌম হিসেবে ১৯৭১ সালে গঠিত হয়েছিল?,বাংলাদেশ দক্ষিণ এশিয়ার একটি স্বাধীন সার্বভৌম রাষ্ট্র।,1,Miscellaneous,Miscellaneous
ধনঞ্জয় ভট্টাচার্য,"বাংলা গানের ইতিহাসে যিনি এক যুগের প্রতীক হয়ে উঠেছিলেন এবং তাঁর কণ্ঠে গান শুনলে সমস্ত শ্রোতাই আত্মসাৎ হতেন, তিনি কে?",ধনঞ্জয় ভট্টাচার্য বাংলা গানের জগতে এক যুগের ধারক কণ্ঠ শিল্পী ছিলেন।,0.001611343861,Miscellaneous,Miscellaneous
মেজবান,"চট্টগ্রাম অঞ্চলের একটি ঐতিহ্যবাহী ভোজের অনুষ্ঠানে যিনি প্রধান অংশগ্রহণকারী হন এবং যিনি এই অনুষ্ঠানের সমস্ত ব্যবস্থাপনা ও সম্পাদনা করেন, তিনি কে হন?",মেজবান বা মেজবানি বাংলাদেশের বৃহত্তর চট্টগ্রাম অঞ্চলের বহুমাত্রিক ঐতিহ্যবাহী একটি ভোজের অনুষ্ঠান।,0.00567193039,Miscellaneous,Miscellaneous
কুর্তা,দক্ষিণ এশিয়ার একটি অঞ্চলে পরিধান করা একটি ঢিলেঢালা কলারবিহীন জামার নাম কী?,কুর্তা বা পাঞ্জাবি হল দক্ষিণ এশিয়ার বেশ কয়েকটি অঞ্চলের পরিধান করা একটি ঢিলেঢালা কলারবিহীন জামা।,0.001095713825,Miscellaneous,Miscellaneous
গাইবান্ধা জেলা,রংপুর বিভাগের কোন প্রশাসনিক অঞ্চলটি বাংলাদেশের উত্তরাঞ্চলে অবস্থিত?,গাইবান্ধা জেলা বাংলাদেশের উত্তরাঞ্চলের রংপুর বিভাগ এর একটি প্রশাসনিক অঞ্চল।,0.03683532066,Miscellaneous,Miscellaneous
ঘি,"ভারতীয় রান্নায় একটি অপরিহার্য অংশ যা পরিশোধিত মাখন থেকে প্রস্তুত করা হয় এবং এর গন্ধ ও স্বাদ রান্নাকে একটি নতুন মิตি দেয়, এটি কী?",ঘি ভারতীয় উপমহাদেশে উদ্ভূত হওয়া পরিশোধিত মাখন।,0.00694489204,Miscellaneous,Miscellaneous
পটুয়া,পট আঁকার কী প্রাচীন শব্দ বলা হয়?,"পটুয়া শব্দের আক্ষরিক অর্থ যারা ""পট"" আঁকে। ",0.009925878182,Miscellaneous,Miscellaneous
শান্তিদেব ঘোষ,"কে ছিলেন ঐ ব্যক্তি যিনি বাঙালি লেখক, কণ্ঠশিল্পী, অভিনেতা, নৃত্যশিল্পী এবং রবীন্দ্রসংগীত-বিশারদ হিসেবে পরিচিত ছিলেন?","শান্তিদেব ঘোষ ছিলেন একজন ভারতীয় বাঙালি লেখক, কণ্ঠশিল্পী, অভিনেতা, নৃত্যশিল্পী ও রবীন্দ্রসংগীত-বিশারদ। ",0.003319368353,Miscellaneous,Miscellaneous
শৈলেন রায়,কোন বাঙালী গীতিকার বাংলা সঙ্গীতের জগতে অনেক পরিচিত হয়ে উঠেছেন তাঁর সৃজনশীল কবিতার জন্য?,শৈলেন রায় একজন বাঙালী গীতিকার।,0.0003544956494,Miscellaneous,Miscellaneous
অন্নপ্রাশন,হিন্দুধর্মীয় সম্প্রদায়ের এই উৎসবে শিশুদের প্রথম খাদ্য দানের অনুষ্ঠান কী বলে?,"অন্নপ্রাশন, হিন্দুধর্মীয় সম্প্রদায়ের একটি বিশেষ উৎসব। ",0.01537222043,Miscellaneous,Miscellaneous
বাংলাদেশ শিল্পকলা একাডেমি,রাষ্ট্রীয় পৃষ্ঠপোষকতার অধীনে কোন সংস্থা বাংলাদেশের সংস্কৃতিকে উন্নয়ন ও প্রচারের কাজে নিয়োজিত হয়েছে?,বাংলাদেশ শিল্পকলা একাডেমি রাষ্ট্রীয় পৃষ্ঠপোষকতায় বাংলাদেশের জাতীয় সংস্কৃতি কেন্দ্র।,0.008814050918,Miscellaneous,Miscellaneous
কাঁথা,"গ্রামের মহিলারা হাতে সেলাই দিয়ে তৈরি করেন এক প্রকার আচ্ছাদন বস্ত্র, যা সাধারণত রংবিন্ন কাগজের টুকরো দিয়ে ঢাকা হয়। এই বস্ত্রটির নাম কী?",কাঁথা বা খেতা বা কেন্থা বা শুজনি প্রধানত গ্রামবাংলার হাতে সেলাইয়ের কাজ করা আচ্ছাদন বস্ত্র।,0.003222687722,Miscellaneous,Miscellaneous
চা,সুগন্ধযুক্ত এবং স্বাদবিশিষ্ট এক ধরনের উষ্ণ পানীয় কী বলে যা সাধারণত চাপাতা বা গরম পানিতে ফুটিয়ে বা ভিজিয়ে তৈরী করা হয়?,চা বলতে সচরাচর সুগন্ধযুক্ত ও স্বাদবিশিষ্ট এক ধরনের উষ্ণ পানীয়কে বোঝায় যা চাপাতা পানিতে ফুটিয়ে বা গরম পানিতে ভিজিয়ে তৈরী করা হয়।,0.03425717048,Miscellaneous,Miscellaneous
সন্তোষ সেনগুপ্ত,রবীন্দ্রসংগীত ও নজরুল গীতির একজন বিশিষ্ট শিল্পী কে ছিলেন?,সন্তোষ সেনগুপ্ত ছিলেন একজন বিশিষ্ট রবীন্দ্রসংগীত ও নজরুল গীতি শিল্পী।,0.0002900418949,Miscellaneous,Miscellaneous
জায়ফল,Myristica গণের কিছু প্রজাতির বীজ বা গুঁড়ো মশলা যা আমরা সাধারণত কী নামে চিহ্নিত করি?,জায়ফল হল Myristica গণের বেশ কয়েকটি প্রজাতির বীজ বা গুঁড়ো মশলা।,0.007283274251,Miscellaneous,Miscellaneous
কণিকা বন্দ্যোপাধ্যায়,সেই স্বনামধন্য বাঙালি রবীন্দ্রসংগীত শিল্পী ও শিক্ষিকার কোন গান শুনলে মনে হয় যেন রবীন্দ্রনাথ ঠাকুরের সরল সুরের মধ্যে আপনি স্বচ্ছন্দে ভ্রমণ করছেন?,কণিকা বন্দ্যোপাধ্যায় একজন স্বনামধন্য ভারতীয় বাঙালি রবীন্দ্রসংগীত শিল্পী ও শিক্ষিকা।,0.005510796004,Miscellaneous,Miscellaneous
রেজওয়ানা চৌধুরী বন্যা,কে বাংলাদেশের সুরময় সাহিত্যের এই গভীর ধ্বনিতে রবীন্দ্রসঙ্গীতের শিল্পী হিসেবে পরিচিত হয়েছেন?,রেজওয়ানা চৌধুরী বন্যা একজন বাংলাদেশী রবীন্দ্রসঙ্গীত শিল্পী।,0.01592007734,Miscellaneous,Miscellaneous
ষাট গম্বুজ মসজিদ,বাগেরহাট জেলার দক্ষিণ-পশ্চিমে অবস্থিত বাংলাদেশের একটি প্রাচীন মসজিদের নাম কী?,ষাট গম্বুজ মসজিদ বাংলাদেশের বাগেরহাট জেলার দক্ষিণ-পশ্চিমে অবস্থিত একটি প্রাচীন মসজিদ।,0.07694166935,Miscellaneous,Miscellaneous
তেজপাতা,কোন উদ্ভিদের পাতা রান্নায় মসলা হিসাবে ব্যবহার করা হয় যা গরম স্বাদ দেয় এবং সাধারণত মাছের রান্নায় ব্যাপকভাবে ব্যবহার করা হয়?,"তেজপাতা এক প্রকারের উদ্ভিদ, যার পাতা মসলা হিসাবে রান্নায় ব্যবহার করা হয়। ",0.009813084112,Miscellaneous,Miscellaneous
সুধীরলাল চক্রবর্তী,বাংলায় কোন সুরকার ও সঙ্গীতশিল্পী যিনি নানান গানের সৃষ্টিকার্য দিয়ে বাংলা সঙ্গীতের জগতে অনুপম ছাপ রেখেছেন?,সুধীরলাল চক্রবর্তী বাংলা ভাষার সুরকার ও সঙ্গীতশিল্পী।,0.000741218176,Miscellaneous,Miscellaneous
সালোয়ার-কামিজ,"দক্ষিণ এশিয়ার মহিলাদের মধ্যে সুপরিচিত একটি পোশাক যা একটি ছাড়া প্যান্ট এবং একটি শর্ট সুট বা কোট দ্বারা গঠিত, এর নাম কী?",সালোয়ার-কামিজ দক্ষিণ এশিয়ার মানুষের মধ্যে সুপ্রচলিত একটি পোশাক।,0.002707057686,Miscellaneous,Miscellaneous
পহেলা বৈশাখ,বাংলা নববর্ষের উৎসব কোন তারিখে অনুষ্ঠিত হয়?,"ধরন প্রতিষ্ঠান পুরস্কার পহেলা বৈশাখ বা পয়লা বৈশাখ বঙ্গাব্দের প্রথম দিন, তথা বাংলা নববর্ষ। ",0.3194811473,Miscellaneous,Miscellaneous
কিশোর কুমার,"যে ব্যক্তি ছিলেন একজন গায়ক, গীতিকার, সুরকার, অভিনেতা, চলচ্চিত্র পরিচালক, চিত্রনাট্যকার এবং রেকর্ড প্রযোজক, তিনি কে?","কিশোর কুমার ছিলেন একজন ভারতীয় গায়ক, গীতিকার, সুরকার, অভিনেতা, চলচ্চিত্র পরিচালক, চিত্রনাট্যকার এবং রেকর্ড প্রযোজক। ",0.0361424428,Miscellaneous,Miscellaneous
তিলের নাড়ু,বাংলার এই সুস্বাদু মিষ্টিমান্দা খাদ্য দ্রব্যটি কী যা প্রধানত তিল থেকে তৈরি করা হয়?,তিলের নাড়ু বাংলার এক বিখ্যাত খাদ্য দ্রব্য।,0.0005156300354,Miscellaneous,Miscellaneous
দোলযাত্রা,"রাধা ও কৃষ্ণের শাশ্বত এবং ঐশ্বরিক প্রেম উদযাপনের জন্য প্রাচীন হিন্দু উৎসব কোনটি? এই উৎসবে বসন্ত, প্রেম এবং রঙের উৎসব নামেও পরিচিত হয়।","দোলযাত্রা বা হোলি হলো একটি জনপ্রিয় ও তাৎপর্যপূর্ণ হিন্দু উৎসব, যা বসন্ত, প্রেম এবং রঙের উৎসব নামেও পরিচিত ৷ এটি রাধা ও কৃষ্ণের শাশ্বত ও ঐশ্বরিক প্রেম উদযাপন করে। ",0.06708024492,Miscellaneous,Miscellaneous
চুড়িদার,ভারতীয় উপমহাদেশে পুরুষ এবং মহিলা উভয়ই পরে এমন একটি আঁটসাঁট লম্বা পাজামার মত পরিধান বস্ত্রের নাম কী?,"চুড়িদার, বা আরও সঠিকভাবে চুড়িদার সুঠান একটি আঁটসাঁট লম্বা পাজামার মত পরিধান বস্ত্র, যেটি ভারতীয় উপমহাদেশে পুরুষ এবং মহিলা উভয়ই পরে। ",0.0008378988076,Miscellaneous,Miscellaneous
হিমাংশু দত্ত,"কোন শিল্পীর সুরারোপিত গানগুলো সাধারণত ""তার গান"" হিসেবে পরিচিত?",তার সুরারোপিত গানগুলো সাধারণত “হিমাংশু দত্তের গান” হিসেবে পরিচিত।,0.0006767644215,Miscellaneous,Miscellaneous
বিদ্যাপতি,"পঞ্চদশ শতাব্দীতে যিনি মৈথিলি ভাষায় সুপরিচিত হয়ে ওঠেন এবং তার কাব্য সৃষ্টি আজও পড়া ও শোনা যায়, তিনি কে?",বিদ্যাপতি পঞ্চদশ শতকের মৈথিলি কবি।,0.03464389301,Miscellaneous,Miscellaneous
কমলাকান্ত ভট্টাচার্য,রামপ্রসাদ সেনের পরে শাক্ত পদাবলী এবং শ্যামা সংগীতের অন্যতম প্রধান কবি কে ছিলেন?,কমলাকান্ত ভট্টাচার্য রামপ্রসাদ সেনের পরেই শাক্ত পদাবলী তথা শ্যামা সংগীতের অন্যতম প্রধান কবি।,0.01332581373,Miscellaneous,Miscellaneous
নিম,"ঔষধি গাছ যার ডাল, পাতা, এবং রস মানুষের দৈনন্দিন জীবনে বহুমুখী উপকারী, সেই গাছের বৈশিষ্ট্য কী কী?","Antelaea azadirachta Adelb. নিম একটি ঔষধি গাছ যার ডাল, পাতা, রস সবই মানুষের দৈনন্দিন জীবনে বহুবিধ কাজে ব্যবহার হয়ে থাকে। ",0.05986142443,Miscellaneous,Miscellaneous
বড়দিন,"খ্রিস্টীয় ধর্মীয় উৎসব যা বাংলাদেশে প্রধানত গণ্য করা হয় এবং যা সাধারণত বাংলাদেশের মুসলিম সম্প্রদায়ের মানুষ দ্বারা অনুষ্ঠিত হয় না, কিন্তু এটি বাংলাদেশে একটি পরিচিত উৎসব হিসেবে স্থান পেয়েছে, সেটি কী?",বড়দিন বা খ্রিস্টমাস বা ক্রিসমাস একটি বাৎসরিক খ্রিস্টীয় উৎসব।,0.04593941347,Miscellaneous,Miscellaneous
কবীর সুমন,"যে ব্যক্তি ভারতের বাঙালি সংস্কৃতির একজন প্রভাবশালী প্রতিনিধি হিসেবে পরিচিত, যিনি গায়ক, গীতিকার, অভিনেতা, বেতার সাংবাদিক এবং গদ্যকার হিসেবে কাজ করেছেন এবং সাথে সাথে সংসদ সদস্য হিসেবেও দায়িত্ব পালন করেছেন, তিনি কে?","কবীর সুমন একজন ভারতীয় বাঙালি গায়ক, গীতিকার, অভিনেতা, বেতার সাংবাদিক, গদ্যকার ও সংসদ সদস্য। ",0.01263293587,Miscellaneous,Miscellaneous
পূর্ব পাকিস্তান,১৯৫৫ থেকে ১৯৭8 পর্যন্ত পাকিস্তানের কোন অংশ ১৯৭১-এ বাংলাদেশ হিসাবে স্বাধীন হয়?,পূর্ব পাকিস্তান ছিল ১৯৫৫ থেকে ১৯৭১ পর্যন্ত পাকিস্তানের পূর্ব অংশ যা ১৯৭১-এ স্বাধীন রাষ্ট্র বাংলাদেশ হিসাবে প্রতিষ্ঠিত হয়।,0.05468901063,Miscellaneous,Miscellaneous
শান,"কোন ব্যক্তি যিনি বাংলাদেশের সাথে বেশি সম্পর্কিত হলেও, ভারতের একজন পরিচিত গায়ক এবং অভিনেতা এবং তার গান 'রান্না' খুব জনপ্রিয় হয়েছিল?",শান একজন প্রখ্যাত ভারতীয় গায়ক এবং অভিনেতা।,0.004141153722,Miscellaneous,Miscellaneous
সুচিত্রা মিত্র,কোন বাঙালি কণ্ঠশিল্পী বিশ্বাস্য ও স্বনামধন্য ছিলেন এবং তাঁর গান অনেকের হৃদয়ে স্থান দখল করেছিল?,সুচিত্রা মিত্র ছিলেন একজন প্রথিতযশা ও স্বনামধন্য ভারতীয় বাঙালি কণ্ঠশিল্পী।,0.005059619723,Miscellaneous,Miscellaneous
সংস্কৃত,হিন্দু ও বৌদ্ধ ধর্মের পবিত্র পাঠ্যগুলিতে ব্যবহৃত এই ঐতিহাসিক ধ্রুপদী ইন্দো-ইউরোপীয় ভাষার নাম কী?,"সংস্কৃত संस्कृतम् সংস্কৃতম্‌, সঠিক নাম: संस्कृता वाक्, সংস্কৃতা বাক্, পরবর্তীকালে প্রচলিত অপর নাম: संस्कृतभाषा সংস্কৃতভাষা, ""পরিমার্জিত ভাষা"" হল একটি ঐতিহাসিক ধ্রুপদী ইন্দো-ইউরোপীয় ভাষা এবং হিন্দু ও বৌদ্ধধর্মের পবিত্র দেবভাষা। ",0.007734450532,Miscellaneous,Miscellaneous
রবীন্দ্রসংগীত,রবীন্দ্রনাথ ঠাকুর কর্তৃক রচিত এবং রবীন্দ্রনাথ বা তার ভাই জ্যোতিরিন্দ্রনাথ ঠাকুর কর্তৃক সুরারোপিত গানগুলির সংগ্রহের নাম কী?,‘রবীন্দ্রসংগীত’ বলতে রবীন্দ্রনাথ ঠাকুর কর্তৃক রচিত এবং রবীন্দ্রনাথ বা তার নতুনদাদা জ্যোতিরিন্দ্রনাথ ঠাকুর কর্তৃক সুরারোপিত গানগুলিকেই বোঝায়।,0.001981952949,Miscellaneous,Miscellaneous
ঋতু গুহ,কোন বাঙালি রবীন্দ্র সঙ্গীত শিল্পী ভারতের গান শিল্পে অসাধারণ অবদান রেখেছেন যিনি স্বচ্ছন্দ ও প্রকৃতিপূর্ণ গান গাওয়ায় পরিচিত?,ঋতু গুহ একজন ভারতীয় বাঙালি রবীন্দ্র সঙ্গীত শিল্পী।,0.001176281018,Miscellaneous,Miscellaneous
জন্মাষ্টমী,কোন দিনে হিন্দু মানবতাবাদী কৃষ্ণের জন্ম উপলক্ষে উৎসব অনুষ্ঠিত হয়?,জন্মাষ্টমী বা কৃষ্ণজন্মাষ্টমী একটি হিন্দু উৎসব।,0.0006123106671,Miscellaneous,Miscellaneous
লেহেঙ্গা,ভারতীয় উপমহাদেশের একটি মহিলাদের জন্য পরিধান যা গোড়ালি পর্যন্ত দৈর্ঘ্যের একটি স্কার্ট এবং হিন্দি বলয় অঞ্চলে বেশি সাধারণ হল কী?,"লেহেঙ্গা, লেহঙ্গা বা ল্যাঙ্গা হলো ভারতীয় উপমহাদেশের মহিলাদের পরিধেয় গোড়ালি পর্যন্ত দৈর্ঘ্যের স্কার্টের একটি রূপ, যা ভারতীয় উপমহাদেশে বিশেষত- ভারতের হিন্দি বলয় অঞ্চলে পরা হয়। ",0.00104737351,Miscellaneous,Miscellaneous
প্রদীপ,কূপি শব্দের আভিধানিক অর্থ কী?,কূপি শব্দের আভিধানিক অর্থ হল প্রদীপ বা বাতি।,4.83E-05,Miscellaneous,Miscellaneous
